review_title,review_description,rating
Classy product,"Okay so here's my first impression, I bought the space purple and the colour looks quite dull, u should go for space black it looks more good on that.. the design is good but the back panel is of plastic nd is a fingerprint magnet and will get scratches very easily so be carefull..Performance is just really good, played bgmi for 3 hours it's really good at smooth extremeCamera is okayish, should have given a ultra wide camera too .. but the 50mp camera also catches good photos Display i...",5
Brilliant,Jordar Phone,5
Perfect product!,Wow good camara nice pics & looking is nice,5
Wonderful,Fantastic phone on this price point good camara good display good performance,5
Fabulous!,"Better smartphone in this price range, as per my opinion overall performance is nice. You will definitely love it as you use it. Good competetar to other in this price range. Camera is good. Battery backup is nice as per your requirement. Competible to day to day use. I shoot this image at night as you see.",5
Simply awesome,Value for money,5
Fabulous!,Just Amazing.,5
Terrific purchase,Realme 8i so perfect  thanks for flipkart,5
Best in the market!,very nice & best product on this plateform.. overall very best so I will suggest that buy this product on this site.,5
Terrific,Very good phone 😌🙂😏🙂🤩🙂🤩🙂🙂😏🙂😏,5
Terrific,Super,5
Fabulous!,Very nice 👌👌,5
Highly recommended,Good Quality and Camera good performance. But Flash is low. Others all performance is Too good.,5
Best in the market!,the product is very cool in everything. the camera quality of phone is awesome and the touch is very smooth this phone is really called as value for money,5
Must buy!,Very good phone in this budget{include offer} go for it good camera good battery good diaplay  good performance,5
Simply awesome,Everything is quite good Specially the camera quality us awesome 😎Smooth use Not that much wait and display quality is quite goodOnly battery drainage is slightly more than other mobile as it has a well build better quality processor.,5
Classy product,Too much smooth 120hz refresh rate is just awesome.... Camera quality is ok ...image looks great but not so detailed... a problem may arise that screen getting off during a call .... But after update it can resolve...overall great phone if you can purchase it under 12.5k,5
Terrific,GooD 👍,5
Worth every penny,Wow wow Wow Realme....... It's my second gadget from Realme that is 8iRealme always shows better performance than other brands such a lovely UI experience.... Powerful Coming to 8i it's back camera much too be improved it's not very much others are perfect I hope the camera improvement will be corrected from next update too .... For gamers it's ur choice... Otherwise this device Is massive Thank you very much Realme and Flipkart for the fast delivery ♥,5
Wonderful,Just amazing 😍😍,5
Mind-blowing purchase,",🌺🌷🌿🍃🍁🍂💐🌹🏵️👌. 👍👏Realme 8i bettery camara display performance is awesome n velue for money mobile fone thanks realme flipkart n ekart👌👍👏🌺🌹🏵️🌿🍃🍁🍂💐",5
Great product,Best mobile under 14000 ..👌👌👌 Value of money 🤑🤑,5
Super!,"Don't think so much, the performance is very very good . Charging is average, camera is best. The battery will definitely last a day,just go for it😍😍. Design is also excellent in purple variant. Screen is smooth because of 120hz display. Quick loading in any app. Delivery was like we've got from store.",5
Classy product,Very good battery backup excellentCamera good all good I like this ph,5
Highly recommended,Good product,5
Best in the market!,"Better Phone in this prizes.Display :- FHD+ IPS in cell Display With 120Hz Refresh  (Better Video Playback, Animation very smooth because 120Hz display) Processor :- Helio G96(Fast & Latest Processor Batter Than G95)Camera:Rear:- 50Mp main camera (Picture Quality Awsame in this prize), 2Mp Altra macro, 2Mp B/WFront:- 16Mp (Selfie Also Good)Battery:- 5000Mah. (1day battey backup Only for video playback if paly any game Than 6 to 8 Hours)Charging 18W full charge in 1.5 Hours.",5
Awesome,Best phone at this price,5
Terrific purchase,Goods..,5
Must buy!,Super bro,5
Mind-blowing purchase,Good phone,5
Mind-blowing purchase,"Very nice mobile,Nice processorNice cameraVery good quality ram extension",5
Worth every penny,Very good,5
Brilliant,Superb...,5
Terrific purchase,Very good and super picture quality..,5
Classy product,Camera 4Bettery 5Display 4Performance 5All over good product in this price range 😃,5
Simply awesome,I like the smartphone so much ... The camera quality is as expected. And the look of this mobile.... Ohh my god.. it's beautiful... M in love wid this phone ..,5
Wonderful,Awesome and handsome....,5
Fabulous!,Very nice phone at this price pointProcessor is awesome Camera is average Battery is good FHD +Display is very good but not amoled,5
Best in the market!,Back camera quality is very good 🙂. satisfied with this phone 🖐️💜,5
Classy product,All things about realme 8i is at the top. But you have to be patient regard it's charging.. it take _> 2 hrs till it's full charge. Camera is osm🥳 loved 💕 it,5
Perfect product!,Mind blowing smartphone this price range..thank you..flipcart for fast delivery.,5
Mind-blowing purchase,"The smartphone comes with a big display of 6.6 inches with an IPS LCD capacitive touchscreen. The resolution is 1080 x 2412 pixels and the screen PPI is 400. The operating system of the device is Android 11 + Realme UI 2.0. The smartphone is powered by a Mediatek Helio G96 Octa-core processor and the GPU is Mali-G57 MC2. The internal storage is 128 GB with 4 GB RAM. Realme 8i consists of a triple-camera 50 MP (wide) + 2 MP (macro) + 2 MP (depth). On the front, there is a single 16 MP (wide) c...",5
Super!,Nice product in this segment,5
Must buy!,Good performance and  best display,5
Terrific,"Phone is very good according to the price, its camera quality is Well  good picture is just like iPhone.First you buy it then trust it. Trust in my experience after purchase this phone. The phone is in affordable price. Best battery backup. I have received this phone today. Selfie camera is also good. Overall performance is excellent . Trust me you won't regret this phone.",5
Must buy!,"Superb phone, I like it. It is very smooth to use.",5
Perfect product!,Realme 8i is powered by an octa-core MediaTek Helio G96 processor good for gaming at medium settings. Good battery life around 5000 mAh but not enough for a day while using on 120hz refresh rate. 120hz feels good but need little more optimization.Camera is like 3/5. Overall phone is about 4/5.,5
Fabulous!,According to the price It will not disappoint you. Battery is good uh can easily use upto whole day and still be left with some battery. And performance is also good for normal users although i am not a gaming user but i installed Asphalt 9 once and it was a smooth experience no lag no nothing.. Overall it is good budget friendly phone,5
Best in the market!,Nice phone 📱 back camera es so nice zoom clean zooming pic sellfie camera nice thank you flipkartI I'm today happy I play free 🔥🔥🔥🔥,5
Highly recommended,So happy to buy this phone during Big billion days. What a value for money this beast is. 1) Helio G96 is best choice in this price range. You can easily play steady 60fps BGMI with GFX tools.2) The touch response is also excellent considering its price. 3) The phone runs buttery smooth due to its 120Hz refresh rate.4) The camera is decent in this price range.5) Widewine L1 is also provided. 6) Didn't order the phone for its looks but was happy once I felt it in my hands. Comes with a p...,5
Classy product,"Okay so here's my first impression, I bought the space purple and the colour looks quite dull, u should go for space black it looks more good on that.. the design is good but the back panel is of plastic nd is a fingerprint magnet and will get scratches very easily so be carefull..Performance is just really good, played bgmi for 3 hours it's really good at smooth extremeCamera is okayish, should have given a ultra wide camera too .. but the 50mp camera also catches good photos Display i...",5
Brilliant,Jordar Phone,5
Perfect product!,Wow good camara nice pics & looking is nice,5
Wonderful,Fantastic phone on this price point good camara good display good performance,5
Fabulous!,"Better smartphone in this price range, as per my opinion overall performance is nice. You will definitely love it as you use it. Good competetar to other in this price range. Camera is good. Battery backup is nice as per your requirement. Competible to day to day use. I shoot this image at night as you see.",5
Simply awesome,Value for money,5
Fabulous!,Just Amazing.,5
Terrific purchase,Realme 8i so perfect  thanks for flipkart,5
Best in the market!,very nice & best product on this plateform.. overall very best so I will suggest that buy this product on this site.,5
Terrific,Very good phone 😌🙂😏🙂🤩🙂🤩🙂🙂😏🙂😏,5
Terrific,Super,5
Fabulous!,Very nice 👌👌,5
Highly recommended,Good Quality and Camera good performance. But Flash is low. Others all performance is Too good.,5
Best in the market!,the product is very cool in everything. the camera quality of phone is awesome and the touch is very smooth this phone is really called as value for money,5
Must buy!,Very good phone in this budget{include offer} go for it good camera good battery good diaplay  good performance,5
Simply awesome,Everything is quite good Specially the camera quality us awesome 😎Smooth use Not that much wait and display quality is quite goodOnly battery drainage is slightly more than other mobile as it has a well build better quality processor.,5
Classy product,Too much smooth 120hz refresh rate is just awesome.... Camera quality is ok ...image looks great but not so detailed... a problem may arise that screen getting off during a call .... But after update it can resolve...overall great phone if you can purchase it under 12.5k,5
Terrific,GooD 👍,5
Worth every penny,Wow wow Wow Realme....... It's my second gadget from Realme that is 8iRealme always shows better performance than other brands such a lovely UI experience.... Powerful Coming to 8i it's back camera much too be improved it's not very much others are perfect I hope the camera improvement will be corrected from next update too .... For gamers it's ur choice... Otherwise this device Is massive Thank you very much Realme and Flipkart for the fast delivery ♥,5
Wonderful,Just amazing 😍😍,5
Mind-blowing purchase,",🌺🌷🌿🍃🍁🍂💐🌹🏵️👌. 👍👏Realme 8i bettery camara display performance is awesome n velue for money mobile fone thanks realme flipkart n ekart👌👍👏🌺🌹🏵️🌿🍃🍁🍂💐",5
Great product,Best mobile under 14000 ..👌👌👌 Value of money 🤑🤑,5
Super!,"Don't think so much, the performance is very very good . Charging is average, camera is best. The battery will definitely last a day,just go for it😍😍. Design is also excellent in purple variant. Screen is smooth because of 120hz display. Quick loading in any app. Delivery was like we've got from store.",5
Classy product,Very good battery backup excellentCamera good all good I like this ph,5
Highly recommended,Good product,5
Best in the market!,"Better Phone in this prizes.Display :- FHD+ IPS in cell Display With 120Hz Refresh  (Better Video Playback, Animation very smooth because 120Hz display) Processor :- Helio G96(Fast & Latest Processor Batter Than G95)Camera:Rear:- 50Mp main camera (Picture Quality Awsame in this prize), 2Mp Altra macro, 2Mp B/WFront:- 16Mp (Selfie Also Good)Battery:- 5000Mah. (1day battey backup Only for video playback if paly any game Than 6 to 8 Hours)Charging 18W full charge in 1.5 Hours.",5
Awesome,Best phone at this price,5
Terrific purchase,Goods..,5
Must buy!,Super bro,5
Horrible,"1. I am facing hanging issue in the phone, while receiving calls2. Finger print is not working sometimes.3. Corner of the screen touch need more impression.4. Screen display is not showing, when I make a call outdoor (couldn't understand, it's working indoor not in outdoor)",1
Unsatisfactory,Sensors not working well,1
Useless product,Very slow charging.,1
Absolute rubbish!,Very bad... Sensor not working properly.. Don't buy this f.. Kn phone. Absolutely waste of money.,1
Waste of money!,Pls don't go for it. It has no silent call recording n screen shut off  during making call. Totally waste of money,1
Useless product,"There is frequent screen blackout issue during calls. Beware of this product from realme. If bought,you will regret your decision after 3 days of using the mobile as I'm doing now 🤕",1
Absolute rubbish!,Fingerprint sensor key didn't respond even to lock/unlock the display of the phone for one day. So wasn't able to even restart the phone. Then it started to work fine on its own. Camera is average. Display is just fine but quality issues r main concern. Refund request raised is still unanswered. Better to go with Samsung.,1
Hated it!,After switch off my mobile whenever I put charger  automatically it's switch gonna be on..I don't know what I do..is it problem yea not I dont know..after 7 days I saw this..I dont know is it a setting issues?,1
Horrible,The Camara is worst,1
Utterly Disappointed,It's really amazing,1
Absolute rubbish!,Many problems I face with this phone 1.camera in low light not good 2.automatic turning off display 3.camera quality decreases by updating software,1
Not recommended at all,Build quality is good ...camera is avg ..battery drain is fast ...worst experience Phone getting off again and again durin call,1
Don't waste your money,"Display & Screen problem, it's not functioning of double tap to wake screen is not functioning",1
Absolute rubbish!,Device facing Heating issues and battery drainage problem.,1
Utterly Disappointed,No voice cancellationNo auto call recorder.Other voice  in Video recording.Battery backup is poor.Hate realme.Hate 8i...,1
Worst experience ever!,"Realme 8i model very worst proximity sensor not working out and incoming calling display off, 50 camera not quality, speaker not clear voice, phone heating problems, very very  bad more than default apps ads storage full problems",1
Useless product,Phone is completely laggy. When u ask for return customer executive will try to comfort you with their brilliant replacement policy theory. I dont really understand how i am supposed to predict the lag before using it.,1
Utterly Disappointed,Battery is not good,1
Terrible product,Worst mobile proximity sensor problem,1
Terrible product,Do no bay this product.display sensar is not properly work..,1
Worst experience ever!,Worest delivery I have ever seen in my life..,1
Useless product,Speaker 🔇 not a happy,1
Useless product,Power on.&off button not working ...sometimes screen totally black and auto switch off ..Technician visit expected by 15 oct ..but till now ..technician not came I totally disappointed by flipkart,1
Don't waste your money,Very poor sensor performance . Very bad performance. I was fully wasted my money.,1
Unsatisfactory,"Please don't waste your hard earned money on it .It has so many issues .Starts to hang in 10 days even when only 2-3 apps(genuine apps) are installed.Screen gets blanked while calling and won't turn on for 5 mins. Issued not resolved even after software update. They said some software issue is there, I had received software update today , but still not resolved. First time I tried realme and it disappointed me. Never ever gonna purchase any realme devices. So please don't buy this model, i...",1
Useless product,"Hanging issue from day 1, heating when I see vedios In phone, battery is worst only 6 hours working.",1
Hated it!,After one month of use this is not working properly during call screen sensor is not working and screen does not wake up you can not make call or use screen anything when call is going on and screen is once get off. Many problems I have facing which I can't describe. Don't buy realme products.,1
Did not meet expectations,"Waste product, so much lag in camera, UI, does not support 120 hz display, please don't buy it",1
Very poor,Vary bad mobail,1
Waste of money!,This product is no satisfied,1
Utterly Disappointed,Mobile heat quickly,1
Hated it!,Realme 8i very best phone 📱And camera best look 🥰🥰,1
Worst experience ever!,It's a waste of money. Started creating problem from very first day. Camera is average.  Too frequent adds. It's a pile of metal and plastic.,1
Horrible,"Good but not best ,",1
Worst experience ever!,Its not showing screen after answering the call its very difficult to cut call,1
Don't waste your money,Battery backup is not good .is very low battery performance 😭,1
Unsatisfactory,"Worst camera, display 3/5",1
Waste of money!,ram future is not working in my phone,1
Horrible,Side button working is bad,1
Unsatisfactory,"Not worth of money, realme products are waste and worest",1
Terrible product,Direct video call is not supporting through Airtel and Automatically data connection disconnect when a incoming call comes. Camera Quality is very poor while other companies are giving so much good features at this range.,1
Horrible,Camera of this product is too much bad... 50 mp back is not original... Front camera also too bad... Worst camera experience ever... I think I'm over trusted on Realme brand... Don't go for it...,1
Terrible product,"in one word, worst mobile 😡🤬😡😡😡😡😡",1
Did not meet expectations,Vere vere bad Phon,1
Waste of money!,Flash light is very very poor.In this price Ram must be 6GB.,1
Useless product,Camera is not good battery service not good,1
Not recommended at all,Very bed quality hanging problem,1
Hated it!,Don't buy this phone there is huge software program,1
Waste of money!,"Third class seller, do not purchase any product from this seller.",1
Did not meet expectations,Touching problem,1
Mind-blowing purchase,Good phone,5
Mind-blowing purchase,"Very nice mobile,Nice processorNice cameraVery good quality ram extension",5
Worth every penny,Very good,5
Brilliant,Superb...,5
Terrific purchase,Very good and super picture quality..,5
Classy product,Camera 4Bettery 5Display 4Performance 5All over good product in this price range 😃,5
Simply awesome,I like the smartphone so much ... The camera quality is as expected. And the look of this mobile.... Ohh my god.. it's beautiful... M in love wid this phone ..,5
Wonderful,Awesome and handsome....,5
Fabulous!,Very nice phone at this price pointProcessor is awesome Camera is average Battery is good FHD +Display is very good but not amoled,5
Best in the market!,Back camera quality is very good 🙂. satisfied with this phone 🖐️💜,5
Classy product,All things about realme 8i is at the top. But you have to be patient regard it's charging.. it take _> 2 hrs till it's full charge. Camera is osm🥳 loved 💕 it,5
Perfect product!,Mind blowing smartphone this price range..thank you..flipcart for fast delivery.,5
Mind-blowing purchase,"The smartphone comes with a big display of 6.6 inches with an IPS LCD capacitive touchscreen. The resolution is 1080 x 2412 pixels and the screen PPI is 400. The operating system of the device is Android 11 + Realme UI 2.0. The smartphone is powered by a Mediatek Helio G96 Octa-core processor and the GPU is Mali-G57 MC2. The internal storage is 128 GB with 4 GB RAM. Realme 8i consists of a triple-camera 50 MP (wide) + 2 MP (macro) + 2 MP (depth). On the front, there is a single 16 MP (wide) c...",5
Super!,Nice product in this segment,5
Must buy!,Good performance and  best display,5
Terrific,"Phone is very good according to the price, its camera quality is Well  good picture is just like iPhone.First you buy it then trust it. Trust in my experience after purchase this phone. The phone is in affordable price. Best battery backup. I have received this phone today. Selfie camera is also good. Overall performance is excellent . Trust me you won't regret this phone.",5
Must buy!,"Superb phone, I like it. It is very smooth to use.",5
Perfect product!,Realme 8i is powered by an octa-core MediaTek Helio G96 processor good for gaming at medium settings. Good battery life around 5000 mAh but not enough for a day while using on 120hz refresh rate. 120hz feels good but need little more optimization.Camera is like 3/5. Overall phone is about 4/5.,5
Fabulous!,According to the price It will not disappoint you. Battery is good uh can easily use upto whole day and still be left with some battery. And performance is also good for normal users although i am not a gaming user but i installed Asphalt 9 once and it was a smooth experience no lag no nothing.. Overall it is good budget friendly phone,5
Best in the market!,Nice phone 📱 back camera es so nice zoom clean zooming pic sellfie camera nice thank you flipkartI I'm today happy I play free 🔥🔥🔥🔥,5
Highly recommended,So happy to buy this phone during Big billion days. What a value for money this beast is. 1) Helio G96 is best choice in this price range. You can easily play steady 60fps BGMI with GFX tools.2) The touch response is also excellent considering its price. 3) The phone runs buttery smooth due to its 120Hz refresh rate.4) The camera is decent in this price range.5) Widewine L1 is also provided. 6) Didn't order the phone for its looks but was happy once I felt it in my hands. Comes with a p...,5
Classy product,"Okay so here's my first impression, I bought the space purple and the colour looks quite dull, u should go for space black it looks more good on that.. the design is good but the back panel is of plastic nd is a fingerprint magnet and will get scratches very easily so be carefull..Performance is just really good, played bgmi for 3 hours it's really good at smooth extremeCamera is okayish, should have given a ultra wide camera too .. but the 50mp camera also catches good photos Display i...",5
Brilliant,Jordar Phone,5
Perfect product!,Wow good camara nice pics & looking is nice,5
Wonderful,Fantastic phone on this price point good camara good display good performance,5
Fabulous!,"Better smartphone in this price range, as per my opinion overall performance is nice. You will definitely love it as you use it. Good competetar to other in this price range. Camera is good. Battery backup is nice as per your requirement. Competible to day to day use. I shoot this image at night as you see.",5
Simply awesome,Value for money,5
Fabulous!,Just Amazing.,5
Terrific purchase,Realme 8i so perfect  thanks for flipkart,5
Best in the market!,very nice & best product on this plateform.. overall very best so I will suggest that buy this product on this site.,5
Terrific,Very good phone 😌🙂😏🙂🤩🙂🤩🙂🙂😏🙂😏,5
Terrific,Super,5
Fabulous!,Very nice 👌👌,5
Highly recommended,Good Quality and Camera good performance. But Flash is low. Others all performance is Too good.,5
Best in the market!,the product is very cool in everything. the camera quality of phone is awesome and the touch is very smooth this phone is really called as value for money,5
Must buy!,Very good phone in this budget{include offer} go for it good camera good battery good diaplay  good performance,5
Simply awesome,Everything is quite good Specially the camera quality us awesome 😎Smooth use Not that much wait and display quality is quite goodOnly battery drainage is slightly more than other mobile as it has a well build better quality processor.,5
Classy product,Too much smooth 120hz refresh rate is just awesome.... Camera quality is ok ...image looks great but not so detailed... a problem may arise that screen getting off during a call .... But after update it can resolve...overall great phone if you can purchase it under 12.5k,5
Terrific,GooD 👍,5
Worth every penny,Wow wow Wow Realme....... It's my second gadget from Realme that is 8iRealme always shows better performance than other brands such a lovely UI experience.... Powerful Coming to 8i it's back camera much too be improved it's not very much others are perfect I hope the camera improvement will be corrected from next update too .... For gamers it's ur choice... Otherwise this device Is massive Thank you very much Realme and Flipkart for the fast delivery ♥,5
Wonderful,Just amazing 😍😍,5
Mind-blowing purchase,",🌺🌷🌿🍃🍁🍂💐🌹🏵️👌. 👍👏Realme 8i bettery camara display performance is awesome n velue for money mobile fone thanks realme flipkart n ekart👌👍👏🌺🌹🏵️🌿🍃🍁🍂💐",5
Great product,Best mobile under 14000 ..👌👌👌 Value of money 🤑🤑,5
Super!,"Don't think so much, the performance is very very good . Charging is average, camera is best. The battery will definitely last a day,just go for it😍😍. Design is also excellent in purple variant. Screen is smooth because of 120hz display. Quick loading in any app. Delivery was like we've got from store.",5
Classy product,Very good battery backup excellentCamera good all good I like this ph,5
Highly recommended,Good product,5
Best in the market!,"Better Phone in this prizes.Display :- FHD+ IPS in cell Display With 120Hz Refresh  (Better Video Playback, Animation very smooth because 120Hz display) Processor :- Helio G96(Fast & Latest Processor Batter Than G95)Camera:Rear:- 50Mp main camera (Picture Quality Awsame in this prize), 2Mp Altra macro, 2Mp B/WFront:- 16Mp (Selfie Also Good)Battery:- 5000Mah. (1day battey backup Only for video playback if paly any game Than 6 to 8 Hours)Charging 18W full charge in 1.5 Hours.",5
Awesome,Best phone at this price,5
Terrific purchase,Goods..,5
Must buy!,Super bro,5
Horrible,"1. I am facing hanging issue in the phone, while receiving calls2. Finger print is not working sometimes.3. Corner of the screen touch need more impression.4. Screen display is not showing, when I make a call outdoor (couldn't understand, it's working indoor not in outdoor)",1
Unsatisfactory,Sensors not working well,1
Useless product,Very slow charging.,1
Absolute rubbish!,Very bad... Sensor not working properly.. Don't buy this f.. Kn phone. Absolutely waste of money.,1
Waste of money!,Pls don't go for it. It has no silent call recording n screen shut off  during making call. Totally waste of money,1
Useless product,"There is frequent screen blackout issue during calls. Beware of this product from realme. If bought,you will regret your decision after 3 days of using the mobile as I'm doing now 🤕",1
Absolute rubbish!,Fingerprint sensor key didn't respond even to lock/unlock the display of the phone for one day. So wasn't able to even restart the phone. Then it started to work fine on its own. Camera is average. Display is just fine but quality issues r main concern. Refund request raised is still unanswered. Better to go with Samsung.,1
Hated it!,After switch off my mobile whenever I put charger  automatically it's switch gonna be on..I don't know what I do..is it problem yea not I dont know..after 7 days I saw this..I dont know is it a setting issues?,1
Horrible,The Camara is worst,1
Utterly Disappointed,It's really amazing,1
Absolute rubbish!,Many problems I face with this phone 1.camera in low light not good 2.automatic turning off display 3.camera quality decreases by updating software,1
Not recommended at all,Build quality is good ...camera is avg ..battery drain is fast ...worst experience Phone getting off again and again durin call,1
Don't waste your money,"Display & Screen problem, it's not functioning of double tap to wake screen is not functioning",1
Absolute rubbish!,Device facing Heating issues and battery drainage problem.,1
Utterly Disappointed,No voice cancellationNo auto call recorder.Other voice  in Video recording.Battery backup is poor.Hate realme.Hate 8i...,1
Worst experience ever!,"Realme 8i model very worst proximity sensor not working out and incoming calling display off, 50 camera not quality, speaker not clear voice, phone heating problems, very very  bad more than default apps ads storage full problems",1
Useless product,Phone is completely laggy. When u ask for return customer executive will try to comfort you with their brilliant replacement policy theory. I dont really understand how i am supposed to predict the lag before using it.,1
Utterly Disappointed,Battery is not good,1
Terrible product,Worst mobile proximity sensor problem,1
Terrible product,Do no bay this product.display sensar is not properly work..,1
Worst experience ever!,Worest delivery I have ever seen in my life..,1
Useless product,Speaker 🔇 not a happy,1
Useless product,Power on.&off button not working ...sometimes screen totally black and auto switch off ..Technician visit expected by 15 oct ..but till now ..technician not came I totally disappointed by flipkart,1
Don't waste your money,Very poor sensor performance . Very bad performance. I was fully wasted my money.,1
Unsatisfactory,"Please don't waste your hard earned money on it .It has so many issues .Starts to hang in 10 days even when only 2-3 apps(genuine apps) are installed.Screen gets blanked while calling and won't turn on for 5 mins. Issued not resolved even after software update. They said some software issue is there, I had received software update today , but still not resolved. First time I tried realme and it disappointed me. Never ever gonna purchase any realme devices. So please don't buy this model, i...",1
Useless product,"Hanging issue from day 1, heating when I see vedios In phone, battery is worst only 6 hours working.",1
Hated it!,After one month of use this is not working properly during call screen sensor is not working and screen does not wake up you can not make call or use screen anything when call is going on and screen is once get off. Many problems I have facing which I can't describe. Don't buy realme products.,1
Did not meet expectations,"Waste product, so much lag in camera, UI, does not support 120 hz display, please don't buy it",1
Very poor,Vary bad mobail,1
Waste of money!,This product is no satisfied,1
Utterly Disappointed,Mobile heat quickly,1
Hated it!,Realme 8i very best phone 📱And camera best look 🥰🥰,1
Worst experience ever!,It's a waste of money. Started creating problem from very first day. Camera is average.  Too frequent adds. It's a pile of metal and plastic.,1
Horrible,"Good but not best ,",1
Worst experience ever!,Its not showing screen after answering the call its very difficult to cut call,1
Don't waste your money,Battery backup is not good .is very low battery performance 😭,1
Unsatisfactory,"Worst camera, display 3/5",1
Waste of money!,ram future is not working in my phone,1
Horrible,Side button working is bad,1
Unsatisfactory,"Not worth of money, realme products are waste and worest",1
Terrible product,Direct video call is not supporting through Airtel and Automatically data connection disconnect when a incoming call comes. Camera Quality is very poor while other companies are giving so much good features at this range.,1
Horrible,Camera of this product is too much bad... 50 mp back is not original... Front camera also too bad... Worst camera experience ever... I think I'm over trusted on Realme brand... Don't go for it...,1
Terrible product,"in one word, worst mobile 😡🤬😡😡😡😡😡",1
Did not meet expectations,Vere vere bad Phon,1
Waste of money!,Flash light is very very poor.In this price Ram must be 6GB.,1
Useless product,Camera is not good battery service not good,1
Not recommended at all,Very bed quality hanging problem,1
Hated it!,Don't buy this phone there is huge software program,1
Waste of money!,"Third class seller, do not purchase any product from this seller.",1
Did not meet expectations,Touching problem,1
Mind-blowing purchase,Good phone,5
Worth every penny,Very good,5
Brilliant,Superb...,5
Terrific purchase,Very good and super picture quality..,5
Mind-blowing purchase,"Very nice mobile,Nice processorNice cameraVery good quality ram extension",5
Pretty good,Nice mobile good camera qualityNot overheating problem during games,4
Classy product,Camera 4Bettery 5Display 4Performance 5All over good product in this price range 😃,5
Good choice,Nice phone,4
Nice,Nice phone..but 📷 not good..,3
Pretty good,"Good product, love you Flipkart",4
Simply awesome,I like the smartphone so much ... The camera quality is as expected. And the look of this mobile.... Ohh my god.. it's beautiful... M in love wid this phone ..,5
Wonderful,Awesome and handsome....,5
Fabulous!,Very nice phone at this price pointProcessor is awesome Camera is average Battery is good FHD +Display is very good but not amoled,5
Best in the market!,Back camera quality is very good 🙂. satisfied with this phone 🖐️💜,5
Classy product,All things about realme 8i is at the top. But you have to be patient regard it's charging.. it take _> 2 hrs till it's full charge. Camera is osm🥳 loved 💕 it,5
Perfect product!,Mind blowing smartphone this price range..thank you..flipcart for fast delivery.,5
Mind-blowing purchase,"The smartphone comes with a big display of 6.6 inches with an IPS LCD capacitive touchscreen. The resolution is 1080 x 2412 pixels and the screen PPI is 400. The operating system of the device is Android 11 + Realme UI 2.0. The smartphone is powered by a Mediatek Helio G96 Octa-core processor and the GPU is Mali-G57 MC2. The internal storage is 128 GB with 4 GB RAM. Realme 8i consists of a triple-camera 50 MP (wide) + 2 MP (macro) + 2 MP (depth). On the front, there is a single 16 MP (wide) c...",5
Super!,Nice product in this segment,5
